epoch,loss_G,loss_D,val_L1
1,9.02337541179657,0.09863689894764102,0.08223625174760818
2,8.151229350280762,0.08310608721031895,0.0779320749014616
3,7.920573805713653,0.0536268532695166,0.07195536541342736
4,7.647757660293579,6.20948477636567e-05,0.07282009060382844
5,7.536244594764709,4.983626453974228e-05,0.07365796854496003
6,7.460337402153015,0.013530387960039716,0.07142342080920935
7,7.395801924133301,1.1653080297339514e-05,0.07027866284698248
8,7.26801536359787,0.03670615934727976,0.07095942239761352
9,7.2500186152458195,0.018474925072695315,0.06943878828585148
10,7.24490279788971,3.259291754279395e-06,0.06941765929311514
11,7.150043136501313,0.025499612317438528,0.06987417105436325
12,7.15046307182312,4.37631540605814e-06,0.06823595851659775
13,7.120951895618439,0.0018533040207625799,0.0677716846242547
14,7.0812902688026425,3.1630839791821993e-05,0.06748351848125458
15,7.0495467979431155,0.0011016546341482169,0.06792386008650064
16,7.026635910224915,0.0007595214158752096,0.0669173972427845
17,7.008010623264313,1.552234775128586e-06,0.06872598067671061
18,6.9739396242141725,0.00041823853318942054,0.06859530317336321
19,6.94999146976471,0.0005768147190133196,0.06753015052825212
20,6.92270312461853,2.179148882587807e-07,0.06652733433395625
21,6.898397467327118,2.6447878679559515e-05,0.06735397652983666
22,6.873246817684174,3.2855030080218733e-08,0.06693140543103218
23,6.851967428970337,0.000683038927274089,0.06690178640037775
